id;codigo;fecha_hora_inicio;fecha_hora_fin;estado_reserva
1;mobile Fish;2019-08-14T09:10:18;2019-08-14T13:30:59;DISPONIBLE
2;Trace;2019-08-14T19:52:31;2019-08-14T13:27:27;OCUPADO
3;Tasty Metal Bacon;2019-08-14T05:21:33;2019-08-14T22:47:17;RESTRINGIDO
4;Money Market Account;2019-08-14T13:12:17;2019-08-14T15:17:25;RESTRINGIDO
5;Namibia;2019-08-14T18:17:15;2019-08-15T00:32:11;DISPONIBLE
6;Multi-channelled Licensed;2019-08-14T13:02:35;2019-08-14T23:05:31;RESTRINGIDO
7;HDD;2019-08-14T11:33:25;2019-08-14T23:47:30;OCUPADO
8;envisioneer Music Public-key;2019-08-14T22:05:59;2019-08-14T17:19:14;RESTRINGIDO
9;incentivize Tuna copy;2019-08-14T17:40:50;2019-08-14T15:24:10;RESTRINGIDO
10;Industrial;2019-08-14T07:40:10;2019-08-14T09:16:52;RESTRINGIDO
